Regional Credibility Measure,Sample Size Indicator,Precision Indicator,Relative Abundance Indicator,AOU Number,Region Code,Ebird Analysis,Species Name,Region,Sample Size,Long-term Trend (1966-2015),Annual Trend (1966-2015),Lower CI,Upper CI,LT Precision,10 yr Trend (2005-2015),Annual Trend (2005-2015),Lower CI,Upper CI,10-yr Precision,Relative Abundance ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
G,G,G,G,1960,SUR,0,Great Egret,Survey-wide,1012,152.71,1.91,0.86,2.93,1.05,39.7,3.4,1.37,6.34,2.03,2.61,100,103.4,106.9156,110.5507304,114.3094552,118.1959767,122.2146399,126.3699377,130.6665156,135.1091771,139.7028891,39.7
Y,G,G,Y,3750,SUR,0,Great Horned Owl,Survey-wide,2582,-32.87,-0.81,-2.59,-0.28,1.78,6.38,0.62,-0.87,2.02,1.49,0.22,100,100.62,101.243844,101.8715558,102.5031595,103.1386791,103.7781389,104.4215633,105.068977,105.7204047,106.3758712,6.38
Y,G,Y,G,3050,SUR,0,Greater Prairie-Chicken,Survey-wide,85,286.96,2.8,-1.85,6.22,4.65,139.58,9.13,-0.8,18.88,9.93,1.51,100,109.13,119.093569,129.9668118,141.8327818,154.7821147,168.9137218,184.3355446,201.1653799,219.531779,239.5750305,139.58
Y,G,G,Y,3850,SUR,0,Greater Roadrunner,Survey-wide,477,49.93,0.83,0.16,1.48,0.67,17.55,1.63,-0.38,3.69,2.01,0.56,100,101.63,103.286569,104.9701401,106.6811534,108.4200562,110.1873031,111.9833561,113.8086848,115.6637664,117.5490858,17.55
G,G,G,G,3090,SUR,0,Greater Sage-Grouse,Survey-wide,143,-81.92,-3.43,-6.54,-1.04,3.11,-18.38,-2.01,-8.37,3.61,6.36,2.72,100,97.99,96.020401,94.09039094,92.19917408,90.34597068,88.53001667,86.75056334,85.00687701,83.29823879,81.62394419,-18.38
Y,G,G,Y,2540,SUR,0,Greater Yellowlegs,Survey-wide,101,361.44,3.17,-0.06,5.75,3.23,108.22,7.61,1.49,15.6,6.12,0.16,100,107.61,115.799121,124.6114341,134.0943642,144.2989454,155.2800951,167.0969103,179.8129852,193.4967534,208.2218563,108.22
G,G,G,G,5120,SUR,0,Great-tailed Grackle,Survey-wide,522,162.62,1.99,0.66,3.24,1.33,55,4.48,1.67,7.75,2.81,25.49,100,104.48,109.160704,114.0511035,119.160593,124.4989875,130.0765422,135.9039713,141.9924692,148.3537318,154.999979,55
Y,G,G,Y,2010,SUR,0,Green Heron,Survey-wide,2259,-58.32,-1.77,-2.01,-1.53,0.24,-11.19,-1.18,-1.86,-0.49,0.68,0.64,100,98.82,97.653924,96.5016077,95.36288873,94.23760664,93.12560288,92.02672077,90.94080546,89.86770396,88.80726505,-11.19
Y,G,Y,Y,4830,SUR,0,Green Jay,Survey-wide,27,2481.92,6.86,4.01,10.1,2.85,98.01,7.07,-0.53,14.64,7.6,0.42,100,107.07,114.639849,122.7448863,131.4229498,140.7145523,150.6630712,161.3149503,172.7199173,184.9312155,198.0058524,98.01
G,G,G,G,5900,SUR,0,Green-tailed Towhee,Survey-wide,449,-14.11,-0.31,-0.83,0.19,0.52,6.16,0.6,-0.35,1.59,0.95,5.66,100,100.6,101.2036,101.8108216,102.4216865,103.0362166,103.6544339,104.2763606,104.9020187,105.5314308,106.1646194,6.16
Y,G,G,Y,1390,SUR,0,Green-winged Teal,Survey-wide,783,-6.63,-0.14,-4.27,0.9,4.13,20.24,1.86,-1.53,5.54,3.39,0.5,100,101.86,103.754596,105.6844315,107.6501619,109.6524549,111.6919906,113.7694616,115.8855736,118.0410453,120.2366087,20.24
Y,G,Y,G,3840,SUR,0,Groove-billed Ani,Survey-wide,22,7.1,0.14,-2.98,3.95,3.12,37.69,3.25,-4.92,12.65,8.17,1.07,100,103.25,106.605625,110.0703078,113.6475928,117.3411396,121.1547266,125.0922552,129.1577535,133.3553805,137.6894304,37.69
Y,G,Y,G,630,SUR,0,Gull-billed Tern,Survey-wide,33,76.82,1.17,-3.32,5.93,4.49,40.79,3.48,-9.41,13.95,12.89,1.06,100,103.48,107.081104,110.8075264,114.6636283,118.6539226,122.7830791,127.0559303,131.4774766,136.0528928,140.7875335,40.79
Y,G,G,Y,3930,SUR,0,Hairy Woodpecker,Survey-wide,3343,48.48,0.81,0.43,1.11,0.38,14.69,1.38,0.72,2.06,0.66,0.52,100,101.38,102.779044,104.1973948,105.6353189,107.0930863,108.5709708,110.0692502,111.5882059,113.1281231,114.6892912,14.69
G,G,G,G,4680,SUR,0,Hammond's Flycatcher,Survey-wide,475,44.21,0.75,0.12,1.39,0.63,10.68,1.02,-0.45,2.6,1.47,5.77,100,101.02,102.050404,103.0913181,104.1428496,105.2051066,106.2781987,107.3622363,108.4573312,109.5635959,110.6811446,10.68
Y,G,G,Y,3350,SUR,0,Harris's Hawk,Survey-wide,71,-63.94,-2.06,-3.56,-0.65,1.5,-30.04,-3.51,-7.89,0.06,4.38,0.59,100,96.49,93.103201,89.83527864,86.68206036,83.63952005,80.70377289,77.87107046,75.13779589,72.50045925,69.95569313,-30.04
R,G,G,R,5470,SUR,0,Henslow's Sparrow,Survey-wide,349,-53.02,-1.53,-2.69,-0.44,1.16,30.27,2.68,-2.35,6.85,5.03,0.08,100,102.68,105.431824,108.2573969,111.1586951,114.1377481,117.1966398,120.3375097,123.562555,126.8740315,130.2742555,30.27
Y,G,G,Y,6090,SUR,1,Hepatic Tanager,Survey-wide,44,91.98,1.34,-1.32,2.95,2.66,24.55,2.22,-0.75,5.08,2.97,0.5,100,102.22,104.489284,106.8089461,109.1801047,111.603903,114.0815097,116.6141192,119.2029526,121.8492582,124.5543117,24.55
G,G,G,G,7590,SUR,1,Hermit Thrush,Survey-wide,1632,17.52,0.33,-0.36,0.91,0.69,4.18,0.41,-0.95,1.77,1.36,9.7,100,100.41,100.821681,101.2350499,101.6501136,102.0668791,102.4853533,102.9055432,103.3274559,103.7510985,104.176478,4.18
G,G,G,G,6690,SUR,1,Hermit Warbler,Survey-wide,163,-2.42,-0.05,-0.69,0.59,0.64,-4.12,-0.42,-1.97,0.9,1.55,8.02,100,99.58,99.161764,98.74528459,98.3305544,97.91756607,97.50631229,97.09678578,96.68897928,96.28288557,95.87849745,-4.12
G,G,G,G,510,SUR,0,Herring Gull,Survey-wide,626,-82.81,-3.53,-7.84,-1.86,4.31,-23,-2.58,-9.47,2.54,6.89,13.04,100,97.42,94.906564,92.45797465,90.0725589,87.74868688,85.48477076,83.27926368,81.13065867,79.03748768,76.9983205,-23
R,G,G,R,1310,SUR,0,Hooded Merganser,Survey-wide,410,548.8,3.89,1.28,5.59,2.61,79.08,6,-3.24,10.47,9.24,0.03,100,106,112.36,119.1016,126.247696,133.8225578,141.8519112,150.3630259,159.3848075,168.9478959,179.0847697,79.08
Y,G,G,Y,5050,SUR,1,Hooded Oriole,Survey-wide,141,28.31,0.51,-1.05,2.21,1.56,40.52,3.46,0.69,7.77,2.77,0.48,100,103.46,107.039716,110.7432902,114.575008,118.5393033,122.6407632,126.8841336,131.2743246,135.8164162,140.5156642,40.52
G,G,G,G,6840,SUR,1,Hooded Warbler,Survey-wide,954,93.85,1.36,0.94,1.79,0.42,17.9,1.66,0.57,2.72,1.09,1.92,100,101.66,103.347556,105.0631254,106.8071733,108.5801724,110.3826033,112.2149545,114.0777227,115.9714129,117.8965384,17.9
Y,G,G,Y,30,SUR,0,Horned Grebe,Survey-wide,181,-20.61,-0.47,-2.6,1.35,2.13,100.98,7.23,0.99,14.69,6.24,0.33,100,107.23,114.982729,123.2959803,132.2102797,141.7690829,152.0189876,163.0099604,174.7955805,187.433301,200.9847287,100.98
G,G,G,G,4740,SUR,0,Horned Lark,Survey-wide,2598,-70.49,-2.46,-2.84,-2.12,0.38,-18.96,-2.08,-2.66,-1.48,0.58,71.9,100,97.92,95.883264,93.88889211,91.93600315,90.02373429,88.15124061,86.31769481,84.52228676,82.76422319,81.04272735,-18.96
G,G,G,G,5190,SUR,0,House Finch,Survey-wide,3069,6.05,0.12,-0.25,0.46,0.37,0.7,0.07,-0.6,0.81,0.67,5.99,100,100.07,100.140049,100.210147,100.2802941,100.3504903,100.4207357,100.4910302,100.5613739,100.6317669,100.7022091,0.7
G,G,G,G,6882,SUR,0,House Sparrow,Survey-wide,3804,-83.5,-3.61,-3.82,-3.45,0.21,-26.64,-3.05,-3.44,-2.62,0.39,50.84,100,96.95,93.993025,91.12623774,88.34688749,85.65230742,83.03991204,80.50719472,78.05172529,75.67114766,73.36317766,-26.64
G,G,G,G,7210,SUR,0,House Wren,Survey-wide,3007,13.57,0.26,0.09,0.43,0.17,9.05,0.87,0.45,1.3,0.42,6.23,100,100.87,101.747569,102.6327729,103.525678,104.4263514,105.3348606,106.2512739,107.17566,108.1080882,109.0486286,9.05
Y,G,G,Y,6320,SUR,0,Hutton's Vireo,Survey-wide,234,88.31,1.3,0.45,2.16,0.85,17.78,1.65,-0.62,4.11,2.27,0.86,100,101.65,103.327225,105.0321242,106.7651543,108.5267793,110.3174712,112.1377094,113.9879816,115.8687833,117.7806183,17.78
Y,G,G,Y,3210,SUR,0,Inca Dove,Survey-wide,221,119.78,1.62,0.48,2.69,1.14,-1.69,-0.17,-3.18,2.43,3.01,0.76,100,99.83,99.660289,99.49086651,99.32173204,99.15288509,98.98432519,98.81605183,98.64806455,98.48036284,98.31294622,-1.69
G,G,G,G,5980,SUR,1,Indigo Bunting,Survey-wide,2543,-30.16,-0.73,-0.82,-0.64,0.09,-10.2,-1.07,-1.31,-0.84,0.24,12.16,100,98.93,97.871449,96.8242245,95.78820529,94.7632715,93.74930449,92.74618693,91.75380273,90.77203704,89.80077625,-10.2
Y,G,G,Y,7331,SUR,0,Juniper Titmouse,Survey-wide,163,14.68,0.28,-1.14,1.54,1.42,19.53,1.8,-0.68,5.06,2.48,0.83,100,101.8,103.6324,105.4977832,107.3967433,109.3298847,111.2978226,113.3011834,115.3406047,117.4167356,119.5302368,19.53
G,G,G,G,6770,SUR,1,Kentucky Warbler,Survey-wide,1021,-35.79,-0.9,-1.26,-0.51,0.36,-1.29,-0.13,-1.11,0.9,0.98,1.62,100,99.87,99.740169,99.61050678,99.48101312,99.3516878,99.22253061,99.09354132,98.96471972,98.83606558,98.7075787,-1.29
G,G,G,G,2730,SUR,0,Killdeer,Survey-wide,4199,-41.55,-1.09,-1.39,-0.91,0.3,-5.84,-0.6,-1.02,-0.2,0.42,6.41,100,99.4,98.8036,98.2107784,97.62151373,97.03578465,96.45356994,95.87484852,95.29959943,94.72780183,94.15943502,-5.84
Y,G,G,Y,2080,SUR,0,King Rail,Survey-wide,63,-89.58,-4.51,-6.91,-2.1,2.4,-33.66,-4.02,-10.42,4.84,6.4,0.38,100,95.98,92.121604,88.41831552,84.86389924,81.45237049,78.17798519,75.03523019,72.01881393,69.12365761,66.34488658,-33.66
G,G,G,G,3960,SUR,0,Ladder-backed Woodpecker,Survey-wide,305,1.98,0.04,-0.44,0.53,0.48,4.38,0.43,-0.56,1.46,0.99,1.16,100,100.43,100.861849,101.295555,101.7311258,102.1685697,102.6078945,103.0491085,103.4922196,103.9372362,104.3841663,4.38
G,G,G,G,6050,SUR,0,Lark Bunting,Survey-wide,539,-76.35,-2.9,-5.42,-1.35,2.52,15.26,1.43,-2.4,5.28,3.83,314.09,100,101.43,102.880449,104.3516394,105.8438679,107.3574352,108.8926465,110.4498113,112.0292436,113.6312618,115.2561889,15.26
G,G,G,G,5520,SUR,0,Lark Sparrow,Survey-wide,1628,-31.87,-0.78,-1.19,-0.39,0.41,0.7,0.07,-0.62,0.77,0.69,7.51,100,100.07,100.140049,100.210147,100.2802941,100.3504903,100.4207357,100.4910302,100.5613739,100.6317669,100.7022091,0.7
G,G,G,G,580,SUR,0,Laughing Gull,Survey-wide,198,180.88,2.13,-0.04,4.24,2.17,31.68,2.79,-2.22,8.12,5.01,381.56,100,102.79,105.657841,108.6056948,111.6357936,114.7504323,117.9519694,121.2428293,124.6255042,128.1025558,131.6766171,31.68
G,G,G,G,5310,SUR,0,Lawrence's Goldfinch,Survey-wide,89,-20.61,-0.47,-2.48,1.58,2.01,2.94,0.29,-4.55,5.64,4.84,2.21,100,100.29,100.580841,100.8725254,101.1650558,101.4584344,101.7526639,102.0477466,102.3436851,102.6404818,102.9381392,2.94
G,G,G,G,5990,SUR,1,Lazuli Bunting,Survey-wide,765,10.83,0.21,-0.32,0.71,0.53,15.03,1.41,0.41,2.5,1,2.07,100,101.41,102.839881,104.2899233,105.7604112,107.251633,108.7638811,110.2974518,111.8526459,113.4297682,115.0291279,15.03
G,G,G,G,5480,SUR,0,Le Conte's Sparrow,Survey-wide,374,-72.36,-2.59,-4.03,-1.19,1.44,-22.68,-2.54,-5.96,1.46,3.42,2.55,100,97.46,94.984516,92.57190929,90.2205828,87.92897999,85.6955839,83.51891607,81.3975356,79.3300382,77.31505523,-22.68
Y,G,G,Y,7110,SUR,0,Le Conte's Thrasher,Survey-wide,54,-62.65,-1.99,-3.9,0.11,1.91,5.64,0.55,-5.97,10.12,6.52,0.7,100,100.55,101.103025,101.6590916,102.2182166,102.7804168,103.3457091,103.9141105,104.4856381,105.0603091,105.6381408,5.64
R,G,G,R,1910,SUR,0,Least Bittern,Survey-wide,114,8.68,0.17,-1.88,2.1,2.05,29.01,2.58,-1.67,8.12,4.25,0.1,100,102.58,105.226564,107.9414094,110.7262977,113.5830362,116.5134785,119.5195263,122.6031301,125.7662908,129.0110611,29.01
G,G,G,G,4670,SUR,1,Least Flycatcher,Survey-wide,1860,-57.05,-1.71,-2.1,-1.33,0.39,-8.27,-0.86,-1.62,-0.06,0.76,7.32,100,99.14,98.287396,97.44212439,96.60412212,95.77332667,94.94967606,94.13310885,93.32356411,92.52098146,91.72530102,-8.27
Y,G,Y,G,740,SUR,0,Least Tern,Survey-wide,117,-87.34,-4.13,-8.27,-0.02,4.14,-20.43,-2.26,-8.9,6.79,6.64,12.52,100,97.74,95.531076,93.37207368,91.26186482,89.19934667,87.18344144,85.21309566,83.2872797,81.40498718,79.56523447,-20.43
G,G,G,G,5300,SUR,0,Lesser Goldfinch,Survey-wide,572,63.63,1.01,0.32,1.69,0.69,28.38,2.53,0.29,4.94,2.24,3.01,100,102.53,105.124009,107.7836464,110.5105727,113.3064902,116.1731444,119.1123249,122.1258667,125.2156512,128.3836071,28.38
G,G,G,G,4210,SUR,0,Lesser Nighthawk,Survey-wide,196,10.83,0.21,-3.96,1.22,4.17,2.32,0.23,-1.52,1.8,1.75,3,100,100.23,100.460529,100.6915882,100.9231789,101.1553022,101.3879594,101.6211517,101.8548803,102.0891466,102.3239516,2.32
G,G,G,G,1490,SUR,0,Lesser Scaup,Survey-wide,489,-59.75,-1.84,-4.78,-0.08,2.94,34.52,3.01,-0.95,8.49,3.96,6.19,100,103.01,106.110601,109.3045301,112.5945964,115.9836938,119.474803,123.0709946,126.7754315,130.591372,134.5221723,34.52
Y,G,Y,Y,2550,SUR,0,Lesser Yellowlegs,Survey-wide,137,-60.35,-1.87,-5.95,1.27,4.08,33.87,2.96,-6.23,16.71,9.19,0.86,100,102.96,106.007616,109.1454414,112.3761465,115.7024804,119.1272739,122.6534412,126.283983,130.0219889,133.8706398,33.87
Y,G,G,Y,4080,SUR,0,Lewis's Woodpecker,Survey-wide,184,-81.83,-3.42,-7.32,-1.59,3.9,-2.76,-0.28,-3.16,3.88,2.88,0.16,100,99.72,99.440784,99.1623498,98.88469523,98.60781808,98.33171619,98.05638738,97.7818295,97.50804038,97.23501786,-2.76
G,G,G,G,5830,SUR,0,Lincoln's Sparrow,Survey-wide,882,-16.2,-0.36,-1.52,0.8,1.16,0.7,0.07,-1.67,1.97,1.74,8.93,100,100.07,100.140049,100.210147,100.2802941,100.3504903,100.4207357,100.4910302,100.5613739,100.6317669,100.7022091,0.7
G,G,G,G,2000,SUR,0,Little Blue Heron,Survey-wide,648,-53.95,-1.57,-2.53,-0.76,0.96,-2.86,-0.29,-2.07,1.91,1.78,2.49,100,99.71,99.420841,99.13252056,98.84503625,98.55838565,98.27256633,97.98757589,97.70341192,97.42007202,97.13755381,-2.86
G,G,G,G,6220,SUR,0,Loggerhead Shrike,Survey-wide,2026,-74.88,-2.78,-3.07,-2.49,0.29,-17.12,-1.86,-2.76,-0.95,0.9,1.86,100,98.14,96.314596,94.52314451,92.76501403,91.03958477,89.34624849,87.68440827,86.05347827,84.45288358,82.88205994,-17.12
G,G,G,G,2640,SUR,0,Long-billed Curlew,Survey-wide,462,8.68,0.17,-1.72,0.94,1.89,14.58,1.37,-0.2,3.08,1.57,2.66,100,101.37,102.758769,104.1665641,105.5936461,107.040279,108.5067308,109.9932731,111.5001809,113.0277334,114.5762133,14.58
Y,G,G,Y,7060,SUR,0,Long-billed Thrasher,Survey-wide,39,1728.35,6.11,4.13,8.04,1.98,85.78,6.39,2.68,9.9,3.71,0.15,100,106.39,113.188321,120.4210547,128.1159601,136.30257,145.0123042,154.2785904,164.1369923,174.6253462,185.7839058,85.78
Y,G,G,Y,6760,SUR,1,Louisiana Waterthrush,Survey-wide,917,34.06,0.6,0.14,1.03,0.46,18.01,1.67,0.72,2.67,0.95,0.24,100,101.67,103.367889,105.0941327,106.8492048,108.6335865,110.4477674,112.2922451,114.1675256,116.0741233,118.0125611,18.01
G,G,G,G,6430,SUR,1,Lucy's Warbler,Survey-wide,55,44.21,0.75,-0.33,1.81,1.08,9.81,0.94,-1.43,3.47,2.37,9.35,100,100.94,101.888836,102.8465911,103.813349,104.7891945,105.7742129,106.7684905,107.7721143,108.7851722,109.8077528,9.81
G,G,G,G,6800,SUR,1,MacGillivray's Warbler,Survey-wide,639,-55.97,-1.66,-5.48,-0.7,3.82,-9.2,-0.96,-2.02,-0.03,1.06,6.95,100,99.04,98.089216,97.14755953,96.21494295,95.2912795,94.37648322,93.47046898,92.57315248,91.68445021,90.80427949,-9.2
G,G,G,G,6570,SUR,1,Magnolia Warbler,Survey-wide,955,52.88,0.87,0.19,1.57,0.68,17.32,1.61,0.11,3.23,1.5,10.19,100,101.61,103.245921,104.9081803,106.597202,108.313417,110.057263,111.8291849,113.6296348,115.4590719,117.317963,17.32
G,G,G,G,31320,SUR,0,Mallard,Survey-wide,3371,15.81,0.3,-0.31,0.86,0.61,15.14,1.42,-0.07,3.11,1.49,8,100,101.42,102.860164,104.3207783,105.8021334,107.3045237,108.8282479,110.373609,111.9409143,113.5304753,115.142608,15.14
G,G,G,G,2490,SUR,0,Marbled Godwit,Survey-wide,368,-18.23,-0.41,-0.99,0.17,0.58,6.16,0.6,-0.82,2.11,1.42,2.43,100,100.6,101.2036,101.8108216,102.4216865,103.0362166,103.6544339,104.2763606,104.9020187,105.5314308,106.1646194,6.16
Y,G,G,Y,7250,SUR,0,Marsh Wren,Survey-wide,707,129.52,1.71,0.39,2.64,1.32,27.51,2.46,-0.09,4.94,2.55,0.95,100,102.46,104.980516,107.5630367,110.2090874,112.9202309,115.6980686,118.5442411,121.4604294,124.448356,127.5097856,27.51
Y,G,Y,G,5390,SUR,0,McCown's Longspur,Survey-wide,117,-94.92,-5.9,-9.06,-2.83,3.16,-24.65,-2.79,-7.56,2.83,4.77,42.69,100,97.21,94.497841,91.86135124,89.29841954,86.80699363,84.38507851,82.03073482,79.74207732,77.51727336,75.35454143,-24.65
R,G,G,R,3570,SUR,0,Merlin,Survey-wide,615,256.81,2.63,1.07,3.65,1.56,38.22,3.29,-1.17,5.61,4.46,0.05,100,103.29,106.688241,110.1982841,113.8238077,117.5686109,121.4366182,125.431883,129.5585919,133.8210696,138.2237828,38.22
Y,G,G,Y,3290,SUR,0,Mississippi Kite,Survey-wide,442,30.83,0.55,-0.46,1.54,1.01,40.92,3.49,1.88,5.1,1.61,0.91,100,103.49,107.101801,110.8396539,114.7079578,118.7112655,122.8542887,127.1419033,131.5791558,136.1712683,140.9236456,40.92
G,G,G,G,1340,SUR,0,Mottled Duck,Survey-wide,113,-78.95,-3.13,-4.84,-1.5,1.71,-17.71,-1.93,-5.08,1.12,3.15,4.57,100,98.07,96.177249,94.32102809,92.50063225,90.71537005,88.96456341,87.24754733,85.56366967,83.91229085,82.29278363,-17.71
G,G,G,G,7680,SUR,1,Mountain Bluebird,Survey-wide,855,-23.3,-0.54,-1.11,-0.05,0.57,-0.6,-0.06,-1.06,0.94,1,2.75,100,99.94,99.880036,99.82010798,99.76021591,99.70035978,99.64053957,99.58075524,99.52100679,99.46129419,99.40161741,-0.6
G,G,G,G,7380,SUR,0,Mountain Chickadee,Survey-wide,570,-48.37,-1.34,-1.85,-0.87,0.51,-8.46,-0.88,-1.91,0.22,1.03,7.61,100,99.12,98.247744,97.38316385,96.52619201,95.67676152,94.83480602,94.00025973,93.17305744,92.35313454,91.54042695,-8.46
Y,G,Y,Y,2810,SUR,0,Mountain Plover,Survey-wide,67,-81.73,-3.41,-8.26,-1.14,4.85,-25.34,-2.88,-17.28,1.34,14.4,0.58,100,97.12,94.322944,91.60644321,88.96817765,86.40589413,83.91740438,81.50058313,79.15336634,76.87374939,74.65978541,-25.34
G,G,G,G,2920,SUR,0,Mountain Quail,Survey-wide,183,-25.17,-0.59,-1.89,0.59,1.3,-35.3,-4.26,-7.41,-1.23,3.15,3.16,100,95.74,91.661476,87.75669712,84.01826182,80.43908387,77.0123789,73.73165156,70.5906832,67.5835201,64.70446214,-35.3
G,G,G,G,3160,SUR,0,Mourning Dove,Survey-wide,4361,-13.26,-0.29,-0.41,-0.18,0.12,0,0,-0.26,0.28,0.26,27.44,100,100,100,100,100,100,100,100,100,100,100,0
G,G,G,G,6790,SUR,1,Mourning Warbler,Survey-wide,929,-44.1,-1.18,-2.01,-0.45,0.83,4.07,0.4,-1.51,2.35,1.91,7.78,100,100.4,100.8016,101.2048064,101.6096256,102.0160641,102.4241284,102.8338249,103.2451602,103.6581408,104.0727734,4.07
R,G,R,Y,1782,SUR,0,Mute Swan,Survey-wide,75,138.53,1.79,-4.17,5.85,5.96,53.96,4.41,-2.88,15.26,7.29,0.75,100,104.41,109.014481,113.8220196,118.8415707,124.0824839,129.5545215,135.2678759,141.2331892,147.4615729,153.9646282,53.96
G,G,G,G,6450,SUR,1,Nashville Warbler,Survey-wide,1189,0.49,0.01,-0.64,0.63,0.65,-5.46,-0.56,-2.12,0.91,1.56,13.15,100,99.44,98.883136,98.32939044,97.77874585,97.23118488,96.68669024,96.14524477,95.6068314,95.07143315,94.53903312,-5.46
Y,G,G,Y,5491,SUR,0,Nelson's Sparrow,Survey-wide,201,119.78,1.62,-0.94,3.24,2.56,40.92,3.49,-0.13,7.26,3.62,0.17,100,103.49,107.101801,110.8396539,114.7079578,118.7112655,122.8542887,127.1419033,131.5791558,136.1712683,140.9236456,40.92
G,G,G,G,2890,SUR,0,Northern Bobwhite,Survey-wide,1983,-82.37,-3.48,-3.77,-3.24,0.29,-24.65,-2.79,-3.51,-2.07,0.72,27.76,100,97.21,94.497841,91.86135124,89.29841954,86.80699363,84.38507851,82.03073482,79.74207732,77.51727336,75.35454143,-24.65
G,G,G,G,5930,SUR,0,Northern Cardinal,Survey-wide,2437,16.95,0.32,0.23,0.4,0.09,2.22,0.22,0,0.42,0.22,23.49,100,100.22,100.440484,100.6614531,100.8829083,101.1048507,101.3272813,101.5502014,101.7736118,101.9975137,102.2219083,2.22
G,G,G,G,34121,SUR,0,Northern Flicker,Survey-wide,4158,-48.11,-1.33,-1.52,-1.15,0.19,-6.97,-0.72,-1.3,-0.18,0.58,3.03,100,99.28,98.565184,97.85551468,97.15095497,96.45146809,95.75701752,95.067567,94.38308051,93.70352234,93.02885697,-6.97
R,G,G,R,3340,SUR,0,Northern Goshawk,Survey-wide,384,-17.43,-0.39,-2.85,0.82,2.46,11.01,1.05,-3.45,4.82,4.5,0.01,100,101.05,102.111025,103.1831908,104.2666143,105.3614137,106.4677086,107.5856195,108.7152685,109.8567788,111.010275,11.01
Y,G,G,Y,3310,SUR,0,Northern Harrier,Survey-wide,1885,-44.93,-1.21,-1.71,-0.84,0.5,-7.44,-0.77,-1.77,0.22,1,0.43,100,99.23,98.465929,97.70774135,96.95539174,96.20883522,95.46802719,94.73292338,94.00347987,93.27965308,92.56139975,-7.44
G,G,G,G,7030,SUR,0,Northern Mockingbird,Survey-wide,2684,-20.22,-0.46,-0.62,-0.31,0.16,-4.89,-0.5,-0.84,-0.17,0.34,21.73,100,99.5,99.0025,98.5074875,98.01495006,97.52487531,97.03725094,96.55206468,96.06930436,95.58895784,95.11101305,-4.89
G,G,G,G,6480,SUR,1,Northern Parula,Survey-wide,1719,71.76,1.11,0.79,1.42,0.32,38.36,3.3,2.59,4.08,0.71,1.86,100,103.3,106.7089,110.2302937,113.8678934,117.6255339,121.5071765,125.5169133,129.6589715,133.9377175,138.3576622,38.36
R,G,R,G,1430,SUR,0,Northern Pintail,Survey-wide,721,-69.59,-2.4,-13.53,-0.74,11.13,-15.24,-1.64,-6.51,3.52,4.87,1.79,100,98.36,96.746896,95.16024691,93.59961886,92.06458511,90.55472591,89.06962841,87.6088865,86.17210076,84.75887831,-15.24
R,G,G,R,3790,SUR,0,Northern Pygmy-Owl,Survey-wide,228,36.03,0.63,-1.61,2.15,2.24,29.52,2.62,-1.12,6.57,3.74,0.03,100,102.62,105.308644,108.0677305,110.899105,113.8046616,116.7863437,119.8461459,122.9861149,126.2083511,129.5150099,29.52
G,G,G,G,6170,SUR,1,Northern Rough-winged Swallow,Survey-wide,3190,-22.92,-0.53,-1.03,-0.14,0.5,7.54,0.73,-0.29,1.88,1.02,1.92,100,100.73,101.465329,102.2060259,102.9521299,103.7036804,104.4607173,105.2232805,105.9914105,106.7651478,107.5445334,7.54
Y,G,Y,G,1420,SUR,0,Northern Shoveler,Survey-wide,643,163.88,2,-3.33,3.24,5.33,27.51,2.46,-1.34,6.43,3.8,1.43,100,102.46,104.980516,107.5630367,110.2090874,112.9202309,115.6980686,118.5442411,121.4604294,124.448356,127.5097856,27.51
G,G,G,G,6750,SUR,1,Northern Waterthrush,Survey-wide,1053,78.54,1.19,0.53,1.78,0.66,29.89,2.65,0.17,4.71,2.48,2.22,100,102.65,105.370225,108.162536,111.0288432,113.9711075,116.9913419,120.0916124,123.2740401,126.5408022,129.8941335,29.89
G,G,G,G,4890,SUR,0,Northwestern Crow,Survey-wide,49,-7.09,-0.15,-1.32,0.98,1.17,-1.39,-0.14,-2.74,1.8,2.6,55.39,100,99.86,99.720196,99.58058773,99.4411749,99.30195726,99.16293452,99.02410641,98.88547266,98.747033,98.60878715,-1.39
G,G,G,G,3970,SUR,0,Nuttall's Woodpecker,Survey-wide,127,61.26,0.98,0.2,1.69,0.78,27.88,2.49,0.42,4.91,2.07,1.97,100,102.49,105.042001,107.6575468,110.3382197,113.0856414,115.9014739,118.7874206,121.7452274,124.7766835,127.8836229,27.88
G,G,G,G,7330,SUR,0,Oak Titmouse,Survey-wide,152,-54.86,-1.61,-2.27,-0.98,0.66,-10.92,-1.15,-2.89,0.74,1.74,13.15,100,98.85,97.713225,96.58952291,95.4787434,94.38073785,93.29535936,92.22246273,91.16190441,90.11354251,89.07723677,-10.92
G,G,G,G,5860,SUR,0,Olive Sparrow,Survey-wide,32,172.9,2.07,0.3,3.75,1.77,-32.89,-3.91,-7.96,0.21,4.05,4.88,100,96.09,92.332881,88.72266535,85.25360914,81.92019302,78.71711347,75.63927434,72.68177871,69.83992116,67.10918024,-32.89
G,G,G,G,4590,SUR,1,Olive-sided Flycatcher,Survey-wide,1275,-78.63,-3.1,-3.97,-2.53,0.87,-17.62,-1.92,-3.03,-0.7,1.11,1.49,100,98.08,96.196864,94.34988421,92.53836643,90.7616298,89.01900651,87.30984158,85.63349262,83.98932957,82.37673444,-17.62
